TradeID,ItemIn
0,Party Time
1,Voltaic Grey
1,Accelerator Crate
1,Accelerator Crate
1,Triumph Crate
1,Turbo Crate
1,Victory Crate
2,Parallax
3,Looper Titanium White
4,Top Hat Saffron
4,Latte Grey
4,Lollipop Sky Blue
4,Wizard Hat Forest Green
4,Fire Helmet Forest Green
4,Devil Horns Purple
4,Devil Horns Orange
4,Mariachi Hat Cobalt
4,Little Bow Titanium White
5,Tora
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
6,Dieci Black
7,Labyrinth
8,Voltaic Crimson
8,Voltaic Purple
9,Razzle Burnt Sienna
10,Hikari P5 Lime
10,Hikari P5 Orange
10,Yuzo Forest Green
10,Yuzo Lime
10,Kalos Purple
10,Kalos Grey
10,Kalos Pink
10,Nipper Saffron
10,Gaiden Saffron
10,Saptarishi Purple
11,20XX
11,Triumph Crate
11,Triumph Crate
11,Triumph Crate
11,Triumph Crate
11,Triumph Crate
11,Triumph Crate
11,Triumph Crate
11,Champions Crate 2
11,Champions Crate 3
11,Champions Crate 4
11,Turbo Crate
11,Turbo Crate
11,Turbo Crate
11,Turbo Crate
11,Velocity Crate
11,Velocity Crate
11,Velocity Crate
11,Victory Crate
11,Victory Crate
11,Victory Crate
12,Triumph Crate
12,Triumph Crate
12,Triumph Crate
12,Triumph Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Victory Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Accelerator Crate
12,Kaleidoscope
12,Aether
12,Aether
12,Aether Grey
12,Blast Ray
12,EQ
12,Razzle
13,Christmas Tree Titanium White
14,Zomba Forest Green
14,Zomba Sky Blue
14,Zomba Purple
14,Wonderment Lime
14,Wonderment Saffron
14,Wonderment Forest Green
14,Looper Forest Green
14,Looper Purple
14,Equalizer Black
15,X-Devil MK2
15,Victory Crate
16,Wonderment Titanium White
16,Wonderment Titanium White
16,Key
17,Draco Titanium White
17,Draco Sky Blue
17,Draco Crimson
17,Draco Lime
17,Draco Cobalt
17,Draco Forest Green
17,Draco Purple
17,Draco Grey
17,Draco Saffron
17,Nitro Crate
18,Offer
19,Velocity Crate
19,Velocity Crate
19,Velocity Crate
19,Velocity Crate
19,Spyder Crimson
19,EKG-OMG
19,EKG-OMG
19,Gearlock
19,Balla-Carrà
19,Illuminata
19,Lightspeed
19,Tachyon
19,Fire Helmet Pink
20,FSL Purple
20,Razzle Black
20,REEVRB
20,Razzle Purple
20,Peppermint Black
20,FSL Sky Blue
20,Geo Soul Titanium White
20,Jäger 619 RS Crimson
20,Centio V17 Titanium White
20,Diomedes Forest Green
21,Magic Missile Lime
21,Hexphase Saffron
21,Roulette Forest Green
21,Hikari P5 Saffron
21,Spiralis Cobalt
21,Springtime Flowers Cobalt
21,Hexphase Pink
21,Neo-Thermal Orange
21,Springtime Flowers Grey
21,Hexphase Forest Green
22,Storm Watch
22,Party Time
22,Werewolf Titanium White
22,Flamethrower Black
22,Tsunami Beam Black
22,Hexphase Titanium White
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
22,Triumph Crate
