TradeID,ItemIn
0,Offer
1,Hellfire
2,Offer
2,Hypnotik
2,Hypnotik
2,Hypnotik
2,Hypnotik
2,Hypnotik
2,Looper
2,Discotheque
2,Storm Watch
2,Wonderment
3,Slipstream
4,Player’s Choice Crate 1
4,Player’s Choice Crate 1
4,Player’s Choice Crate 1
4,Player’s Choice Crate 1
4,Player’s Choice Crate 1
4,Triumph Crate
4,Triumph Crate
4,Triumph Crate
4,Triumph Crate
4,Triumph Crate
5,Offer
5,Player’s Choice Crate 1
5,Roulette
5,Chakram
5,Zomba
5,Standard
5,Halo
5,Wonderment
5,Octane
5,Jäger 619 RS
6,Heatwave
6,Offer
7,Offer
7,Draco
7,Draco
7,Draco
7,Draco
7,Hypnotik
7,Hypnotik
7,Voltaic
7,Voltaic
7,Wonderment
8,Heatwave
9,Tora
10,Offer
10,Roulette
10,Kalos
10,FSL
10,Zomba
10,Endo
10,Mantis
10,Centio V17
10,Fireworks
10,Tora
11,Offer
12,Comet
12,Dominus GT
12,Breakout Type-S
12,Octane ZSR
12,Dragon Wings
12,Beaten Egg
12,Calculated
12,Anodized
12,Offer
12,Metallic Pearl (Smooth)
13,Tora
13,Key
13,Spectre
14,Offer
14,Slipstream
14,20XX
14,Parallax
14,Hypnotik
14,Hypnotik
14,Hypnotik
14,Draco
14,Draco
14,Dueling Dragons
15,Samurai
15,Triumph Crate
16,Octane
16,Key
16,Bubbly
17,Heatwave
17,Heatwave
17,Heatwave
17,Heatwave
17,Offer
18,Parallax
18,Slipstream
19,Griffon
19,Pearlescent (matte)
19,Offer
20,Offer
21,Chrono
21,Chrono
21,Chrono
21,Chrono
21,Chrono
21,Sub-Zero
21,Sunburst
21,Biomass
21,Tora
21,Offer
22,Offer
23,Offer
24,Halo
24,Spectre
24,Biomass
25,Bubbly
25,Key
25,Key
25,Trigon
25,Offer
26,Slipstream
27,Bubbly
27,20XX
27,Trigon
28,Player’s Choice Crate 1
28,Key
28,Octane ZSR
28,Offer
29,Offer
30,Offer
30,Draco
30,Gaiden
30,Gaiden
30,Gaiden
30,Dissolver
31,Chrono
31,Chrono
31,Chrono
31,Septem
31,Spiralis
31,Spiralis
31,Spiralis
31,Fireworks
31,Tora
31,Offer
32,Player’s Choice Crate 1
32,Nitro Crate
32,Offer
33,Hexphase
33,Offer
34,Offer
35,Offer
36,Mantis
36,Triplex
37,Comet
37,Comet
37,Key
38,Offer
39,Storm Watch
39,Trigon
40,Labyrinth
40,Hexed
40,Chrono
40,Tunica
40,Dieci
40,Octane
40,Octane
40,Octane
40,Offer
41,Offer
41,Trigon
42,Triumph Crate
42,Triumph Crate
42,Triumph Crate
42,Triumph Crate
42,Triumph Crate
42,Triumph Crate
42,Triumph Crate
43,Offer
44,Offer
44,Dissolver
44,Heatwave
44,Chameleon
44,Storm Watch
44,Hypnotik
44,Draco
44,Voltaic
44,Zomba
44,Champions Crate 4
45,Triumph Crate
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
45,Player’s Choice Crate 1
46,Offer
46,Player’s Choice Crate 1
46,Triumph Crate
47,Offer
47,Offer
47,Offer
47,Offer
47,Offer
48,Bubbly
48,Biomass
49,Biomass
49,Spectre
49,Chrono
49,Kalos
49,Roulette
49,Sunburst
49,Tunica
49,Labyrinth
49,Octane
49,Offer
50,Player’s Choice Crate 1
50,Player’s Choice Crate 1
51,Offer
52,Player’s Choice Crate 1
52,Triumph Crate
52,Champions Crate 3
52,Champions Crate 2
52,Offer
53,Rat Rod
53,Rat Rod
53,Rat Rod
53,Rat Rod
54,Octane
54,Invader
54,Stern
54,Razzle
54,Infinium
54,Dissolver
54,Slipstream
54,Storm Watch
54,Trigon
54,Offer
55,Draco
55,Nitro Crate
55,Heatwave
55,Heatwave
56,Kalos
56,Roulette
56,Chrono
56,Sunburst
56,Sunburst
56,Biomass
56,Spectre
56,Octane
56,Labyrinth
56,Offer
57,Tora
58,Triumph Crate
58,20XX
58,Hypnotik
59,Zomba
59,Winter's Warmth
59,Offer
60,Player’s Choice Crate 1
60,Triumph Crate
60,Champions Crate 4
60,Offer
61,Bubbly
62,Offer
63,Triumph Crate
63,Player’s Choice Crate 1
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
63,Champions Crate 4
64,Labyrinth
64,Heatwave
64,Bubbly
64,Poly Pop
64,Hellfire
64,Offer
